kogudus,auskoht,aasta,liikmeid_kokku,keskmiselt_vottis_jumala_teenistustest_osa,ristiti,maeti,laulatati,abielu_registreeriti,noorte_toos_osales,lastetoos_osales,annetaja_liikmeid_oli_kokku,praostkond,tulud_kokku,liikmeannetused_eur,korjandused_eur,ametitalitused_eur,avaliku_sektori_toetused_kokku_eur,tulu_kinnisvarast_eur,valisannetused_ja_toetused_kokku_eur,kulud_kokku_eur
Kanepi Jaani Kogudus,vald154,2020,1800,13,5,24,0,0,0,4,183,Võru,21 364 €,8 022 €,2 345 €,1 366 €,4 230 €,1 089 €, 800 €,16 287 €
Kärdla Johannese Kogudus,vald155,2017,350,15,5,19,0,0,0,4,68,Saarte,70 528 €,3 532 €, 800 €,2 560 €, 0 €,18 290 €,18 596 €,51 307 €
Kärdla Johannese Kogudus,vald156,2018,350,15,1,12,0,0,0,6,68,Saarte,57 111 €,4 419 €, 521 €, 668 €,2 200 €,16 549 €,25 460 €,71 781 €
Kärdla Johannese Kogudus,vald157,2019,350,16,4,12,0,0,0,6,63,Saarte,49 826 €,4 662 €, 507 €, 480 €, 0 €,10 773 €,19 057 €,54 038 €
Kärdla Johannese Kogudus,vald158,2020,350,17,4,11,1,0,0,6,61,Saarte,42 702 €,4 776 €,2 529 €,1 350 €,1 425 €,15 447 €,10 255 €,43 161 €
Karja Katariina Kogudus,vald159,2017,140,17,5,1,1,0,0,60,42,Saarte,16 834 €,2 265 €,5 430 €, 0 €,7 500 €,1 140 €, 0 €,21 063 €
Karja Katariina Kogudus,vald160,2018,140,17,0,4,1,0,0,60,32,Saarte,22 349 €,1 564 €,7 047 €, 100 €,1 700 €,11 140 €, 0 €,14 963 €
Karja Katariina Kogudus,vald161,2019,140,19,1,4,0,0,0,60,33,Saarte,46 221 €,1 725 €,8 853 €, 65 €,4 700 €,29 150 €, 0 €,24 575 €
Karja Katariina Kogudus,vald162,2020,150,12,6,11,0,0,0,0,35,Saarte,21 247 €,1 779 €,2 158 €, 200 €,12 486 €,1 300 €, 0 €,36 015 €
Karksi Peetri Kogudus,vald163,2017,46,18,4,3,0,0,0,0,46,Viljandi,9 876 €,3 905 €, 853 €, 400 €,1 000 €,3 718 €, 0 €,9 965 €
Karksi Peetri Kogudus,vald164,2018,215,19,0,0,0,0,0,0,50,Viljandi,9 225 €,3 344 €,1 680 €, 500 €, 0 €,2 970 €, 0 €,8 915 €
Karksi Peetri Kogudus,vald165,2019,210,20,2,1,0,0,0,0,50,Viljandi,12 198 €,4 121 €,2 751 €, 0 €, 350 €,4 249 €, 0 €,10 776 €
Karksi Peetri Kogudus,vald166,2020,292,17,5,2,0,0,0,0,45,Viljandi,20 417 €,4 280 €,1 302 €, 460 €,9 195 €,4 920 €, 250 €,16 359 €
Kärla Maarja-Magdaleena Kogudus,vald167,2017,450,21,2,17,1,1,0,7,91,Saarte,30 914 €,2 854 €, 432 €,1 920 €,3 000 €,3 498 €, 0 €,12 794 €
Kärla Maarja-Magdaleena Kogudus,vald168,2018,450,18,3,11,0,0,0,7,95,Saarte,17 435 €,3 654 €, 695 €,1 581 €,6 700 €,3 729 €, 0 €,11 190 €
Kärla Maarja-Magdaleena Kogudus,vald169,2019,450,16,2,12,0,0,0,17,92,Saarte,16 406 €,2 919 €, 594 €,1 296 €,7 200 €,4 026 €, 0 €,25 037 €
Kärla Maarja-Magdaleena Kogudus,vald170,2020,400,16,2,8,0,0,0,0,74,Saarte,17 720 €,4 039 €, 397 €, 954 €,11 943 €, 0 €, 0 €,17 745 €
Käru Kogudus,vald171,2017,162,16,2,0,0,0,0,0,32,Järva,8 003 €,1 004 €, 650 €, 545 €, 500 €, 0 €, 0 €,13 169 €
Käru Kogudus,vald172,2018,171,21,0,0,0,0,0,0,30,Järva,4 957 €, 918 €, 635 €, 400 €,3 000 €, 0 €, 0 €,6 341 €
Käru Kogudus,vald173,2019,162,14,0,1,0,0,0,0,28,Järva,16 898 €, 912 €, 918 €, 0 €,3 264 €, 0 €,1 800 €,23 161 €
Käru Kogudus,vald174,2020,163,13,2,3,1,0,0,0,29,Järva,87 718 €, 906 €, 881 €, 129 €,84 661 €, 0 €, 0 €,95 699 €
Karula Kogudus,vald175,2017,490,25,20,25,1,0,11,3,105,Valga,26 046 €,2 015 €,2 758 €,2 032 €,1 361 €, 0 €,6 510 €,30 506 €
Karula Kogudus,vald176,2018,495,24,18,44,1,0,9,5,110,Valga,62 806 €,3 200 €,3 405 €,1 787 €, 400 €,36 123 €,8 170 €,31 920 €
Karula Kogudus,vald177,2019,490,27,16,51,2,0,7,0,110,Valga,25 368 €,3 300 €,4 313 €,2 431 €, 500 €,1 000 €,5 736 €,37 029 €
